GeneName,SARS-CoV-1_L2FC,IAV_L2FC,MERS-CoV_L2FC,HPIV3_L2FC,RSV_L2FC,SARS-CoV-2(Calu-3)_L2FC,SARS-CoV-2(A549)_L2FC,SARS-CoV-2(A549-ACE2)LowMOI_L2FC,SARS-CoV-2(A549-ACE2)HiMOI_L2FC,SARS-CoV-2(A549-ACE2)-Ruxolitinib_L2FC,padj_SARS-CoV-1,padj_IAV,padj_MERS-CoV,padj_HPIV3,padj_RSV,padj_SARS-CoV-2(Calu-3),padj_SARS-CoV-2(A549),padj_SARS-CoV-2(A549-ACE2)LowMOI,padj_SARS-CoV-2(A549-ACE2)HiMOI,padj_SARS-CoV-2(A549-ACE2)-Ruxolitinib
LOC100506207,0.01015,-0.27498,0.34712,-0.5015381,-1.0253659,0.61316,1.00301,-0.24484,-0.2564768,-0.6719781,1,1,0.47544394,1,1,0.17435475,1,0,1,1
LOC100506229,0.05726,0,0.12531,0,0,-0.1207,0,0,0,0,1,1,1,1,1,0,1,0,1,1
LOC100506233,-0.00835,-0.02395,0.2514,-0.5069111,-0.2228789,0.26192,-0.19042,0.58528,1.53457238,1.58059383,0.97336223,0.98097366,0.10171003,0.36449073,0.70743958,0.33808134,0.34992707,0.13419391,3.17E-11,4.46E-11
LOC100506241,0.01909,0,-0.07817,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
LOC100506274,0,0,0.12531,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
LOC100506305,-0.05645,0,0.10881,-0.2424798,-0.0808816,0.75052,-0.50328,0,-0.1438204,-0.144094,1,1,1,1,1,0,1,0,1,1
LOC100506314,-0.19167,0.23019,-0.41744,-0.3023979,-0.5733121,-0.50459,0.36537,0.13256,0.98344631,0.91206909,0.4594996,0.80764657,0.07960321,0.62918674,0.42540687,0.22150456,0.148595,0,0.01267652,0.01129345
LOC100506321,0.03973,0,-0.31176,0,0.14959346,0,0,0,1.32661214,1.18470028,1,1,1,1,1,0,1,0,1,1
LOC100506343,-0.37132,-0.17964,-0.11744,-0.9052458,-1.9097321,-0.69931,0.55359,-0.15027,-0.3624544,-0.9385224,0.30693722,0.85348414,0.80145902,0.17381228,0.00174474,0,0.0259763,0,1,1
LOC100506368,0.3459,-0.05525,-0.3417,0.04957748,-0.2640055,-0.08174,0.7224,-0.31778,-0.0349132,0.24933955,1,1,1,1,1,0,0.05353978,0,1,1
LOC100506384,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
LOC100506385,-0.38556,-0.12662,-0.22509,-0.0318781,1.03707241,0.05994,0.29389,-0.29673,-0.2564599,-1.3254219,0.22967281,1,0.51413859,1,1,0,0.49459653,0,1,1
LOC100506388,-0.0348,-0.13425,-0.07817,0,0,-0.27291,0,0,1.21778912,1.34779327,1,1,1,1,1,0,1,0,1,1
LOC100506393,0,0,0.12531,0,0,-0.1207,0,0,0,0,1,1,1,1,1,0,1,0,1,1
LOC100506394,-0.11475,-0.23712,0.00946,0.10301082,-0.0853471,-0.03033,0.53676,0.95367,1.58407076,1.73094745,0.50482857,1,0.96304247,1,1,0,0.20431308,0,1,1
LOC100506403,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
LOC100506421,-0.0348,0,0.03945,0,0,0,0.11217,-0.19155,-0.1438204,-0.144094,1,1,1,1,1,0,1,0,1,1
LOC100506422,0.1422,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
LOC100506451,0.07888,0.12769,-0.06324,-0.0901133,0.72997824,-0.42842,-0.12453,-0.12722,0.48625941,0.67733881,0.79542534,1,0.8306172,1,1,0,0.68697721,0,1,1
LOC100506469,0.02598,-0.53949,0.40588,-0.4632786,-1.1266587,0.12118,-0.16015,0.30319,0.87244828,0.94927107,0.92084001,0.41319947,0.01237591,0.30778192,0.00031558,0.70071676,0.34872371,0.39876835,2.59E-06,5.35E-07
LOC100506472,-0.21003,-0.4416,0.16308,-1.0451284,-1.2894981,0.32306,-0.30461,-0.48108,1.29791391,1.46772881,0.52135387,1,0.5612225,1,1,0.34173146,0.38635152,0,1,1
LOC100506474,-0.03392,0,-0.076,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
LOC100506497,0.05656,0.12364,0,0,0,0.0198,0,0,0.81987802,0.26804011,1,1,1,1,1,0,1,0,1,1
LOC100506548,-0.09433,0.45468,-0.13151,-0.1830166,-0.3894192,0.79027,1.47312,-0.02705,0.81725418,0.85243821,0.60290793,0.42570684,0.38865859,0.49235112,0.13218576,1.53E-08,1.40E-55,0.92345432,1.82E-06,1.01E-16
LOC100506585,0,0,0.12531,0,0,0,0,0,0.36623664,0.81871408,1,1,1,1,1,0,1,0,1,1
LOC100506599,0.27722,0.09171,0.56526,-0.0447572,0.73396217,-0.26435,0.57264,0.33176,1.03443727,1.33652138,0.355103,1,0.06528646,1,0.1661599,0.5636448,0.09025997,0,0.00767568,0.00012036
LOC100506655,-0.07673,0.03003,0.14375,0,0,0.16229,0,0,0,0,1,1,1,1,1,0,1,0,1,1
